"nome","resumo","coordenador"
"LABORATÓRIO DE PESQUISA EM LINGUÍSTICA HISTÓRICA FILOLOGIA E CULTURA – LABLINC","Em breve este conteúdo estará disponível.","Marcelo Moraes Caetano "
"REVISTA NAVAL E OCEÂNICA","Em breve este conteúdo estará disponível.","Marcelo Musci Zaib Antonio "
"CAMINHOS DA ANTIGUIDADE CLÁSSICA: DA GRÉCIA À CONTEMPORANEIDADE","Em breve este conteúdo estará disponível.","Márcia Regina De Faria Da Silva "
"A IMPORTÂNCIA DO LATIM NA FORMAÇÃO DO ALUNO DE LETRAS","Em breve este conteúdo estará disponível.","Marcio Luiz Moitiinha Ribeiro "
"LÍNGUA LATINA I","Em breve este conteúdo estará disponível.","Marcio Luiz Moitiinha Ribeiro "
"LÍNGUA LATINA II","Em breve este conteúdo estará disponível.","Marcio Luiz Moitiinha Ribeiro "
"LÍNGUA LATINA I","Em breve este conteúdo estará disponível.","Marcio Luiz Moitinha Ribeiro "
"LITERATURA DE AUTORIA NEGRA NO CHÃO DA ESCOLA: ENSINO PESQUISA E PRODUÇÕES","Em breve este conteúdo estará disponível.","Maria Betânia Almeida Pereira "
"FORMAÇÃO DOCENTE: DIÁLOGOS ENTRE TEORIA E PRÁTICA NO ENSINO DE LÍNGUA PORTUGUESA E LITERATURA","Em breve este conteúdo estará disponível.","Maria Isaura Rodrigues Pinto "
"MONITORIA DE ILE05-10230 - TEORIA DA LITERATURA I","Em breve este conteúdo estará disponível.","Maurício Chamarelli Gutierrez "
"A IGNORÂNCIA DA CRÍTICA","Em breve este conteúdo estará disponível.","Maurício Chamarelli Gutierrez "
"ELABORAÇÃO DE MATERIAIS DIDÁTICOS DE PORTUGUÊS ARTICULADOS A TEXTOS LITERÁRIOS","Em breve este conteúdo estará disponível.","Milene Maciel Carlos Leite "
"PROJETO SABER PARA MUDAR - LINGUAGENS","Em breve este conteúdo estará disponível.","Nilo Sérgio D´avila Modesto "
"LETRAMENTOS HUMANOS: ENSINO DE INGLÊS COMO LÍNGUA DE ATIVISMO NA DEFESA DOS DIREITOS HUMANOS","Em breve este conteúdo estará disponível.","Patrícia Helena Da Silva Costa "
"OFICINA ON-LINE DE LÍNGUA INGLESA PARA CRIANÇAS – LICOMZINHO","Em breve este conteúdo estará disponível.","Patrícia Helena Da Silva Costa "
"MONITORIA DA DISCIPLINA CULTURA INGLESA II","Em breve este conteúdo estará disponível.","Patricia Marouvo Fagundes "
"MONITORIA DE LÍNGUA INGLESA I","Em breve este conteúdo estará disponível.","Patricia Pereira Bertoli "
"VALORIZANDO O INGLÊS NO ENSINO PÚBLICO","Em breve este conteúdo estará disponível.","Patricia Pereira Bertoli "
"LICOM/PLIC - FRANCÊS PARA A COMUNIDADE - MÓDULO I - NÍVEL 2","Em breve este conteúdo estará disponível.","Pedro Armando De Almeida Magalhaes "
"OFICINAS ON-LINE DE FRANCÊS PARA CRIANÇAS - LICOMZINHO","Em breve este conteúdo estará disponível.","Pedro Armando De Almeida Magalhaes "
"NOSOTROS LITERATURAMOS: FORMAÇÃO DOCENTE LEITURA E MEDIAÇÃO LITERÁRIA NAS AULAS DE ESPANHOL","Em breve este conteúdo estará disponível.","Phelipe De Lima Cerdeira "
"CURSO DE LÍNGUA ITALIANA: ASPECTOS GRAMATICAIS E CULTURAIS","Em breve este conteúdo estará disponível.","Rapahel Salomão Khede "
"OFICINA DE GÊNEROS LITERÁRIOS: CRÔNICA CONTO NOVELA","Em breve este conteúdo estará disponível.","Regina Celi Brasil De Brito Mello "
"MONITORIA DE LINGUÍSTICA II","Em breve este conteúdo estará disponível.","Renê Alberto Moritz Da Silva e Forster "
"ENSINO DE ALEMÃO EM ESPAÇOS PÚBLICOS: FORMAÇÃO E PROFISSIONALIZAÇÃO DOCENTE","Em breve este conteúdo estará disponível.","Roberta Cristina Sol Fernandes Stanke "
"MONITORIA DE ILE03-07000 - LÍNGUA ESPANHOLA I","Em breve este conteúdo estará disponível.","Rodrigo Da Silva Campos "
"OFICINA DE ESPANHOL PARA CRIANÇAS: EDUCAÇÃO ONLINE E FORMAÇÃO DOCENTE","Em breve este conteúdo estará disponível.","Rodrigo Da Silva Campos "
"FRANCÊS COMO LÍNGUA ADICIONAL NA EDUCAÇÃO BÁSICA","Em breve este conteúdo estará disponível.","Shirlei Almeida Baptistone "
"NÚCLEO DE CAPACITAÇÃO PARA TRATAMENTO TÉCNICO DE TEXTOS (NUTRAT)","Em breve este conteúdo estará disponível.","Shirley De Souza Gomes Carreira "
"ESTRATÉGIAS DE POPULARIZAÇÃO DO DISCURSO CIENTÍFICO EM MATERIAIS DIDÁTICOS DE LÍNGUA PORTUGUESA","Em breve este conteúdo estará disponível.","Silvia Adélia Henrique Guimarães "
"CÍRCULOS DE LETRAMENTO – TECENDO NARRATIVAS DE VIVÊNCIAS","Em breve este conteúdo estará disponível.","Simone Maria Bacellar Moreira "
"""OFICINAS ON-LINE DE ESPANHOL PARA MÃES SOLO""","Em breve este conteúdo estará disponível.","Talita De Assis Barreto "
"ARQUIVOS DE SABERES LINGUÍSTICOS: DISPONIBILIZAÇÃO COMUNICAÇÃO E DIVULGAÇÃO","Em breve este conteúdo estará disponível.","Thaís De Araujo Da Costa "
"MONITORIA DE LITERATURA NORTE-AMERICANA","Em breve este conteúdo estará disponível.","Vanessa Cianconi "
"SELEÇÃO TRADUÇÃO DE LITERATURA HISPANO-AMERICANA E SUA POSSÍVEL APLICAÇÃO NO ENSINO","Em breve este conteúdo estará disponível.","Wagner Monteiro Pereira "
"REVISTA DESENVOLVIMENTO E CIVILIZAÇÃO","Em breve este conteúdo estará disponível.","Zacarias Jaegger Gama "
